title,description,topic,sentiment
Donald Trump beat Kamala Harris with Muslim voters over Gaza: exit poll,"LAS VEGAS â€” Muslims snubbed Vice President Kamala Harris on Election Day over her stance on the Israel-Hamas war in Gaza, with about 80% rejecting her at the ballot box, an exit poll reveals. Despite pre-election polling that put the veep at 41% support amongâ€¦",Analysis,negative
Kamala Harris interviewers received massive donations ahead of sit-downs: report,"FEC filings, first reported by theÂ Washington Free Beacon, show the Harris campaign gave two $250,000 donations to Rev. Al Sharptonâ€™s nonprofit organization in September and October.",Campaign Activity,negative
Oprah Winfrey denies â€˜lieâ€™ that she got $1M to endorse Kamala Harris: â€˜I was not paid a dimeâ€™,"""I was not paid a dime. My time and energy was my way of supporting the campaign,"" she wrote in the comments section of the Shade Room's post.",Celebrity,neutral
MSNBCâ€™s Claire McCaskill cries over Kamala Harrisâ€™ concession speech,McCaskill could be heard crying in the background while MSNBC aired Harrisâ€™s speech.,Fallout & Moving Forward,neutral
Bill Maher urges Democrats to â€˜look in the mirrorâ€™ after Kamala Harrisâ€™ election loss,"Maher switched his aim toward Harris and the Democrats, telling them they must reevaluate their party and platform after their embarrassing loss.",Fallout & Moving Forward,negative
"Kamala Harris committed â€˜political malpracticeâ€™ by not going on Joe Rogan podcast, Andrew Yang says","â€œIt was also a very bad look that they didn't go on because there were some voters who were like, huh, what are they hiding?â€",Analysis,negative
NYC comedian does â€˜spot-onâ€™ Kamala Harris impression after election loss â€” and the internet loves it,New York City comedianÂ Sienna Hubert-Ross posted a video the day after the election -- of theÂ veep drinking wine and blubbering about her loss.,Celebrity,negative
Ella Emhoff seemingly loses her mind over stepmom Kamala Harris losing presidency to Trump,"Emhoff, 25, was photographed sobbing on the sidelines while Vice President Kamala Harris delivered her concession speech to Trump at Howard University on Wednesday.",Fallout & Moving Forward,negative
Kamala Harris floated to replace Supreme Court Justice Sonia Sotomayor as progressives pressure her to resign,A liberal pundit Sunday floated nominating failed presidential candidate Kamala Harris to replace US Supreme Court Justice Sonia Sotomayor while the Democrats still cling to power.,Fallout & Moving Forward,neutral
Squirrel spotted onstage before Kamala Harrisâ€™ concession speech â€” and internet thinks itâ€™s the ghost of Pâ€™nut,A squirrel was spotted running across the stage just moments before Vice President Kamala gave her concession speech Wednesday -- sending social media into a spin as users quipped it was the euthanized furry internet sensation coming back to haunt her.,Fallout & Moving Forward,neutral
Nancy Pelosi calls Kamala Harrisâ€™ loss to Trump â€˜heartbreakingâ€™ â€“ had â€˜very emotional conversationâ€™ with VP,"Pelosi, 84, made the comments to New York Times podcast host Lulu Garcia-Navarro, co-host of â€œThe Interview,â€ in a yet to be released episode recorded after Election Day.",Fallout & Moving Forward,positive
Furious Dem official brands Kamala Harrisâ€™ campaign a â€˜$1 billion disasterâ€™ in foul-mouthed tirade,"""Theyâ€™re $20 million or $18 million in debt. Itâ€™s incredible, and I raised millions of that. I have friends I have to be accountable to and explain what happened.""",Fallout & Moving Forward,negative
"Kamala Harrisâ€™ stepdaughter, Ella Emhoff, addresses rumors she was hospitalized for â€˜mental breakdownâ€™",The daughter of second gentleman Douglas Emhoff was seen crying during the vice president's concession speech at Howard University.,Fallout & Moving Forward,neutral
Memers guess what President Biden is really thinking during presser after Kamala Harris lost to Trump: â€˜Thrilledâ€™,"""This is the look of a guy who just watched his carjacker get t-boned by a garbage truck,"" one user mused.",Fallout & Moving Forward,negative
Donald Trump is heading back to the White House â€” and Kamala Harrisâ€™ own decisions are to blame,"Donald. He was voted for president three times. And a blessing on his head â€” mazel tov, mazel tov.",Trump,negative
Ella Emhoff insists she is not having a mental breakdown after stepmom Kamala Harrisâ€™ big election loss: â€˜Fâ€“k youâ€™,Rumors swirled she had been checked into an institution.,Fallout & Moving Forward,neutral
Kamala Harrisâ€™ niece shares smiling pic of VP at home with glass of wine after she lost election to Trump,The 60-year-old presidential candidate can be seen wearing a sweatshirt from her alma mater Howard University while playing with her niece's two daughters.,Fallout & Moving Forward,neutral
Kamala Harrisâ€™ ex-communications director says Biden should resign in wild scheme to make her first female president: â€˜Turn tables on Trumpâ€™,"""Itâ€™d turn [the] tables on Trump, keep Kamala from presiding over Jan. 6 make it easier for next woman to run.""",Fallout & Moving Forward,positive
Why did white women and the Democratic base abandon Kamala Harris? My view from the campaign trail,"Some have argued Harris moved too far to the left in the campaign. Instead, she may have failed to listen to the message coming from her base.",Analysis,negative
Did Kamala Harris face the double whammy of gender and race?,"Chris Rock once said electing Barack Obama was progress for White people, not Black people.  This article examines whether gender is as significant a schism in US politics as race, analyzing why Kamala Harris lost the 2020 election. It explores the double binâ€¦",Analysis,neutral
The Crass but Winning Political Tactic That Kamala Harris Missed,She didnâ€™t offer voters what they really wanted.,Analysis,negative
Oprah Winfrey Attacked For $1 Million Fee To Kamala Harrisâ€™ Campaign,"Media mogul Oprah Winfrey has denied being paid personally by the presidential campaign team for Vice President Kamala Harris, according to a report from a conservative website last week.",Celebrity,neutral
Plies Has Comforting Words For Fans Reeling After Kamala Harrisâ€™ Election Loss To Donald Trump,Plies told his followers to stay with the fight despite having to swallow the hard pill that we must endure four more years of Donald Trump.,Fallout & Moving Forward,positive
Vice President Kamala Harris Concedes To Donald Trump During Howard University Speech,Vice President Kamala Harris conceded to President-Elect Donald Trump during a speech held at Howard University,Fallout & Moving Forward,neutral
Overnight Cable News Ratings for Nov. 5-7: Kamala Harrisâ€™ Concession Speech Brings Viewers,"Tuesday, November 5 Fox News was the go-to network on Election Night in both total viewers and the Adults 25-54 demo. The network peaked with over 10 million viewers between 9 p.m. and 12 a.m. ET. CNN still held its own in the demo, finishing in second place,â€¦",Fallout & Moving Forward,neutral
There Are Some Giant Holes in One Popular Explanation for Why Kamala Harris Lost,There are quite a few problems with this theory.,Analysis,neutral
"Catfight: As Biden and Trump smile cordially, Jill Biden cuts Kamala Harris dead","Around the time President Trump and Joe Biden held the most cordial of presidential transition meetings at the White House, something different was going on over at a Veterans Day event between Jill Biden and Kamala Harris.    According to Fox News: ...",Fallout & Moving Forward,negative
Comparing Kamala Harris to actual U.S. presidents,"Unfortunately, with the recent defeat of Kamala Harris, we will have fewer opportunities in the future to hear her speak, to illuminate, to orate, to elevate.    As partial recompense, I hereby offer some of her wisest and wittiest utterances &hellip...",Fallout & Moving Forward,positive
Kamala Harris ends her presidential run in booming defeatâ€¦ and $20 million in debt,"When you look at how badly they managed their own money, think about what they wouldâ€™ve done to ours.    Kamala Harris only became the official Democrat nominee on August 6th, which was just 91 days before the electionâ€”yet in that time, s...",Fallout & Moving Forward,negative
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,"Kamala Harris and the Democratic Partyâ€™s prodigious fundraising operation raised more than $1 billion in her loss to Donald Trump, but the vice president is still pushing donors for more money after the election",Fallout & Moving Forward,negative
Judge recuses himself in Arizona fake elector case after urging response to attacks on Kamala Harris,A judge recused himself from presiding over Arizona's fake electors case after an email surfaced in which he told fellow judges to speak out against attacks on Kamala Harrisâ€™ race,Fallout & Moving Forward,neutral
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,"Kamala Harris and the Democratic Partyâ€™s prodigious fundraising operation raised more than $1 billion in her loss to Donald Trump, but the vice president is still pushing donors for more money after the election",Fallout & Moving Forward,negative
Why Kamala Harris Bailed on Joe Rogan,"In the closing weeks of the 2024 presidential campaign, Vice President Kamala Harris had an opportunity to appear on the Joe Rogan Experience, the most popular podcast in the country. Ultimately, she declined the interview.  Former President Donald Trump certâ€¦",Analysis,neutral
Kamala Harris Supporters Abandon Starbucks Boycott After Election Defeat,"Kamala Harris backers on TikTok say they are abandoning their support for a boycott of Starbucks because that support was not reciprocated in the election, which the vice president lost. Since late in 2023, there has been an ongoing boycott of the coffee gianâ€¦",Fallout & Moving Forward,neutral
"Kamala Harris Should Run Again in 2028, Democratic Voters Say","Kamala Harris is by some margin Democratic voters most favored candidate to be the party's 2028 presidential election candidate, according to a new poll. Echelon Insights surveyed 1,010 likely voters between November 14 and 18 with a 3.5 point margin of errorâ€¦",Analysis,positive
Is Kamala Harris preparing for a recount against Trump? Campaign mentions â€˜Harris Fight Fundâ€™,"A fundraising initiative linked to Vice President Kamala Harris's campaign has allocated part of the contributions to a ""recount fund.""",Campaign Activity,neutral
What Kamala Harris' Loss Means For Future Women Candidates,The election result marks the second time a Democratic woman has lost to Donald Trump within eight years.,Fallout & Moving Forward,neutral
Oprah Winfrey Responds To Claims She Was Paid 'Personal Fee' To Endorse Kamala Harris,The media mogul addresses accusations about her support for the Democratic presidential nominee.,Celebrity,neutral
"Kamala Harris Finance Mismanagement Claims. What We Know, What We Don't","As Democrats conduct a postmortem on Kamala Harris' campaign following Donald Trump's decisive second-term presidential victory, claims have circulated about her campaign mismanaging the substantial funds it raised. Here's what we know. Did Democrats Spend $1â€¦",Analysis,negative
Kamala Harris paid $1 million to Oprah Winfrey to campaign for her: Report,"Vice President Kamala Harris's campaign is facing a $20 million deficit despite raising substantial funds.  The campaign invested heavily in celebrity endorsements, media appearances, and targeted ad campaigns, including a $1 million payment to Oprah Winfrey'â€¦",Campaign Activity,negative
"Joe Biden, Kamala Harris Appear Together For First Time Since The Election",They observed Veterans Day together by laying a wreath at the Tomb of the Unknown Soldier at Arlington National Cemetery.,Fallout & Moving Forward,neutral
